"filename", "language", "Python", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"d:\401385\zizi-1.5-5.6\app\__init__.py", "Python", 0, 0, 0, 0, 0, -1, -1
"d:\401385\zizi-1.5-5.6\app\data\__init__.py", "Python", 0, 0, 0, 0, 0, -1, -1
"d:\401385\zizi-1.5-5.6\app\data\init_db.py", "Python", -7, 0, 0, 0, 0, -2, -9
"d:\401385\zizi-1.5-5.6\app\data\models.py", "Python", -91, 0, 0, 0, 0, -9, -100
"d:\401385\zizi-1.5-5.6\app\data\respositories.py", "Python", -66, 0, 0, 0, -7, -15, -88
"d:\401385\zizi-1.5-5.6\app\database.py", "Python", -16, 0, 0, 0, -2, -5, -23
"d:\401385\zizi-1.5-5.6\app\main.py", "Python", -33, 0, 0, 0, -4, -9, -46
"d:\401385\zizi-1.5-5.6\app\routes\__init__.py", "Python", 0, 0, 0, 0, 0, -1, -1
"d:\401385\zizi-1.5-5.6\app\routes\api.py", "Python", -110, 0, 0, 0, -16, -19, -145
"d:\401385\zizi-1.5-5.6\app\services\__init__.py", "Python", 0, 0, 0, 0, 0, -1, -1
"d:\401385\zizi-1.5-5.6\app\services\log_handler.py", "Python", -34, 0, 0, 0, -1, -11, -46
"d:\401385\zizi-1.5-5.6\app\services\qa_system.py", "Python", -98, 0, 0, 0, -13, -20, -131
"d:\401385\zizi-1.5-5.6\app\static\css\main.css", "CSS", 0, 0, -483, 0, -27, -81, -591
"d:\401385\zizi-1.5-5.6\app\static\js\main.js", "JavaScript", 0, 0, 0, -208, -19, -48, -275
"d:\401385\zizi-1.5-5.6\app\static\js\marked.min.js", "JavaScript", 0, 0, 0, -1, -5, 0, -6
"d:\401385\zizi-1.5-5.6\app\static\materialdesignicons.min.css", "CSS", 0, 0, -1, 0, -1, -1, -3
"d:\401385\zizi-1.5-5.6\app\templates\index.html", "HTML", 0, -88, 0, 0, -14, -13, -115
"d:\401385\zizi-1.5-5.6\app\templates\maintenance.html", "HTML", 0, -48, 0, 0, 0, -2, -50
"d:\401385\zizi-1.5-5.6\test\Test_To_Improve.py", "Python", 151, 0, 0, 0, 22, 31, 204
"d:\401385\zizi-1.5-5.6\test\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\401385\zizi-1.5-5.6\test\batch_processor22-批处理.py", "Python", 264, 0, 0, 0, 44, 55, 363
"d:\401385\zizi-1.5-5.6\test\enhanced_api-加上日志.py", "Python", 160, 0, 0, 0, 19, 31, 210
"d:\401385\zizi-1.5-5.6\test\stream_test_界面流式打印.py", "Python", 101, 0, 0, 0, 1, 14, 116
"d:\401385\zizi-1.5-5.6\test\test_lmstudio_stream.py", "Python", 45, 0, 0, 0, 3, 9, 57
"Total", "-", 266, -136, -484, -209, -20, -98, -681
